Time	eastMoving_arrvCarCount_noise	westMoving_arrvCarCount_noise	eastMoving_dptCarCount_noise	westMoving_dptCarCount_noise	westSideQueue	eastSideQueue	TrafficLight	phaseSigma	elapseTimeInGreen	carPassingTime_mean	eastMoving_arrvCarCount	westMoving_arrvCarCount	eastMoving_dptCarCount	westMoving_dptCarCount
3630.0	3	5	8	0	18	8	20	3.1685868163774593	49.98316908879902	4.0	3	5	8	0
3660.0	0	3	7	0	11	11	20	1.1806496481154323	79.98316908879896	4.0	0	3	7	0
3690.0	3	5	8	0	6	16	20	3.850803115348609	109.98316908879903	4.0	3	5	8	0
3720.0	4	2	3	5	8	12	0	3.583909168307744	18.600372266091394	4.0	4	2	3	5
3750.0	4	3	0	8	12	8	0	0.0822041310522792	48.6003722660918	4.0	4	3	0	7
3780.0	2	2	0	7	14	2	0	2.976922558780384	78.60037226609259	4.0	2	2	0	8
3810.0	3	4	2	5	14	2	20	2.0565226620679073	11.75776213526788	4.0	3	4	2	5
3840.0	8	2	9	0	13	4	20	3.53451112431201	41.7577621352679	4.0	7	2	8	0
3870.0	3	5	6	0	9	9	20	1.3170758932623032	71.75776213526794	4.0	3	5	7	0
3900.0	8	3	8	0	9	12	20	3.9498569929416405	101.7577621352677	4.0	8	3	8	0
3930.0	6	3	5	2	10	12	0	0.6099886006421937	10.667198164069214	4.0	5	3	5	2
3960.0	4	3	0	8	14	7	0	3.463817906157634	40.667198164068935	4.0	4	3	0	8
3990.0	3	3	0	7	18	3	0	0.4276818445501136	70.6671981640691	4.0	4	3	0	7
4020.0	3	3	1	5	19	0	20	2.5008820182085465	5.48957797657747	4.0	3	3	1	7
4050.0	4	1	8	0	15	1	20	2.9252613866421537	35.48957797657758	4.0	4	1	8	0
4080.0	3	4	7	0	11	5	20	1.5641469946270838	65.48957797657727	4.0	3	4	7	0
4110.0	3	3	9	0	7	8	20	3.411756579935953	95.48957797657675	4.0	4	3	8	0
4140.0	3	3	7	0	5	10	0	2.38178207282811	1.9375827561461847	4.0	4	3	7	0
4170.0	6	2	0	8	11	4	0	2.205276230856421	31.937582756146064	4.0	6	2	0	8
4200.0	7	2	1	5	15	1	20	0.08733177300114647	8.243932934959275	4.0	6	2	1	6
4230.0	9	3	8	0	15	4	20	1.9443873582311193	38.24393293495855	4.0	8	3	8	0
4260.0	5	3	8	0	12	7	20	2.384210374676114	68.2439329349589	4.0	5	3	8	0
4290.0	5	3	8	0	10	10	20	1.5839859047347353	98.24393293495925	4.0	5	3	7	0
4320.0	5	4	7	1	8	11	0	3.1076196383197923	5.057843048606223	4.0	4	3	7	1
4350.0	2	5	0	7	10	9	0	3.3978234418920943	35.05784304860587	4.0	2	5	0	7
4380.0	4	3	0	6	14	5	0	1.7718864201332973	65.05784304860683	4.0	4	3	0	7
4410.0	5	4	0	7	19	2	0	0.8005440349863404	95.05784304860619	4.0	5	4	0	7
4440.0	3	4	4	4	17	3	20	3.7382617696290232	16.91467174918763	4.0	3	4	4	4
4470.0	4	6	5	0	15	9	20	1.7223289595574824	46.91467174918836	4.0	5	6	7	0
4500.0	2	4	9	0	10	13	20	0.25821587107428634	76.91467174918809	4.0	2	4	7	0
4530.0	4	7	8	0	6	19	20	1.7544356498742695	106.91467174918901	4.0	4	6	8	0
4560.0	1	8	5	3	3	22	0	1.4276382746156697	14.952007468301883	4.0	1	7	5	3
4590.0	4	1	0	8	7	15	0	3.788610615377187	44.952007468300565	4.0	4	1	0	8
4620.0	3	3	0	7	10	11	0	2.3775561235966056	74.95200746830108	4.0	3	3	0	7
4650.0	2	4	0	10	12	7	0	3.6062148947917567	104.95200746830021	4.0	2	4	0	8
4680.0	5	5	2	5	14	8	20	0.574916602679747	11.377947999103577	4.0	5	5	2	5
4710.0	7	2	8	0	12	10	20	2.426459230586751	41.377947999104805	4.0	6	2	8	0
4740.0	3	2	8	0	8	12	20	1.9445535434917929	71.37794799910489	4.0	3	2	7	0
4770.0	5	0	6	0	5	12	20	1.2790097545918817	101.37794799910382	4.0	4	0	7	0
4800.0	5	1	7	1	5	11	0	0.22014135560354298	8.178729963240631	4.0	5	1	6	1
4830.0	2	4	0	7	7	7	0	2.207833158283798	38.17872996324041	4.0	2	4	0	8
4860.0	7	1	0	6	13	1	0	0.7425568403858529	68.17872996324171	4.0	6	1	0	7
4890.0	4	2	6	2	10	2	20	2.932869686364371	25.000153056384004	4.0	4	2	6	2
4920.0	4	3	6	0	7	5	20	1.45059018343746	55.00015305638434	4.0	4	3	7	0
4950.0	6	3	7	0	6	8	20	0.9758772419093709	85.00015305638384	4.0	6	3	7	0
4980.0	3	4	8	0	1	12	20	3.4560947090863343	115.00015305638453	4.0	3	4	8	0
5010.0	2	2	2	5	2	7	0	3.727605322414032	23.423448937266546	4.0	2	2	2	6
5040.0	1	3	0	8	3	3	0	0.14094280193072972	53.42344893726625	4.0	1	3	0	7
5070.0	5	3	2	5	3	2	20	1.3480259191118087	14.709297095090074	4.0	4	3	3	5
